,date,province,confirmed,deceased
0,2020-01-20,Seoul,0,0
1,2020-01-20,Busan,0,0
2,2020-01-20,Daegu,0,0
3,2020-01-20,Incheon,1,0
4,2020-01-20,Gwangju,0,0
5,2020-01-20,Daejeon,0,0
6,2020-01-20,Ulsan,0,0
7,2020-01-20,Sejong,0,0
8,2020-01-20,Gyeonggi,0,0
9,2020-01-20,Gangwon,0,0
10,2020-01-20,Chungcheongbuk,0,0
11,2020-01-20,Chungcheongnam,0,0
12,2020-01-20,Jeollabuk,0,0
13,2020-01-20,Jeollanam,0,0
14,2020-01-20,Gyeongsangbuk,0,0
15,2020-01-20,Gyeongsangnam,0,0
16,2020-01-20,Jeju,0,0
17,2020-01-21,Seoul,0,0
18,2020-01-21,Busan,0,0
19,2020-01-21,Daegu,0,0
20,2020-01-21,Incheon,1,0
21,2020-01-21,Gwangju,0,0
22,2020-01-21,Daejeon,0,0
23,2020-01-21,Ulsan,0,0
24,2020-01-21,Sejong,0,0
25,2020-01-21,Gyeonggi,0,0
26,2020-01-21,Gangwon,0,0
27,2020-01-21,Chungcheongbuk,0,0
28,2020-01-21,Chungcheongnam,0,0
29,2020-01-21,Jeollabuk,0,0
30,2020-01-21,Jeollanam,0,0
31,2020-01-21,Gyeongsangbuk,0,0
32,2020-01-21,Gyeongsangnam,0,0
33,2020-01-21,Jeju,0,0
34,2020-01-22,Seoul,0,0
35,2020-01-22,Busan,0,0
36,2020-01-22,Daegu,0,0
37,2020-01-22,Incheon,1,0
38,2020-01-22,Gwangju,0,0
39,2020-01-22,Daejeon,0,0
40,2020-01-22,Ulsan,0,0
41,2020-01-22,Sejong,0,0
42,2020-01-22,Gyeonggi,0,0
43,2020-01-22,Gangwon,0,0
44,2020-01-22,Chungcheongbuk,0,0
45,2020-01-22,Chungcheongnam,0,0
46,2020-01-22,Jeollabuk,0,0
47,2020-01-22,Jeollanam,0,0
48,2020-01-22,Gyeongsangbuk,0,0
49,2020-01-22,Gyeongsangnam,0,0
50,2020-01-22,Jeju,0,0
51,2020-01-23,Seoul,0,0
52,2020-01-23,Busan,0,0
53,2020-01-23,Daegu,0,0
54,2020-01-23,Incheon,1,0
55,2020-01-23,Gwangju,0,0
56,2020-01-23,Daejeon,0,0
57,2020-01-23,Ulsan,0,0
58,2020-01-23,Sejong,0,0
59,2020-01-23,Gyeonggi,0,0
60,2020-01-23,Gangwon,0,0
61,2020-01-23,Chungcheongbuk,0,0
62,2020-01-23,Chungcheongnam,0,0
63,2020-01-23,Jeollabuk,0,0
64,2020-01-23,Jeollanam,0,0
65,2020-01-23,Gyeongsangbuk,0,0
66,2020-01-23,Gyeongsangnam,0,0
67,2020-01-23,Jeju,0,0
68,2020-01-24,Seoul,0,0
69,2020-01-24,Busan,0,0
70,2020-01-24,Daegu,0,0
71,2020-01-24,Incheon,1,0
72,2020-01-24,Gwangju,0,0
73,2020-01-24,Daejeon,0,0
74,2020-01-24,Ulsan,0,0
75,2020-01-24,Sejong,0,0
76,2020-01-24,Gyeonggi,1,0
77,2020-01-24,Gangwon,0,0
78,2020-01-24,Chungcheongbuk,0,0
79,2020-01-24,Chungcheongnam,0,0
80,2020-01-24,Jeollabuk,0,0
81,2020-01-24,Jeollanam,0,0
82,2020-01-24,Gyeongsangbuk,0,0
83,2020-01-24,Gyeongsangnam,0,0
84,2020-01-24,Jeju,0,0
85,2020-01-25,Seoul,0,0
86,2020-01-25,Busan,0,0
87,2020-01-25,Daegu,0,0
88,2020-01-25,Incheon,1,0
89,2020-01-25,Gwangju,0,0
90,2020-01-25,Daejeon,0,0
91,2020-01-25,Ulsan,0,0
92,2020-01-25,Sejong,0,0
93,2020-01-25,Gyeonggi,1,0
94,2020-01-25,Gangwon,0,0
95,2020-01-25,Chungcheongbuk,0,0
96,2020-01-25,Chungcheongnam,0,0
97,2020-01-25,Jeollabuk,0,0
98,2020-01-25,Jeollanam,0,0
99,2020-01-25,Gyeongsangbuk,0,0
100,2020-01-25,Gyeongsangnam,0,0
101,2020-01-25,Jeju,0,0
102,2020-01-26,Seoul,0,0
103,2020-01-26,Busan,0,0
104,2020-01-26,Daegu,0,0
105,2020-01-26,Incheon,1,0
106,2020-01-26,Gwangju,0,0
107,2020-01-26,Daejeon,0,0
108,2020-01-26,Ulsan,0,0
109,2020-01-26,Sejong,0,0
110,2020-01-26,Gyeonggi,2,0
111,2020-01-26,Gangwon,0,0
112,2020-01-26,Chungcheongbuk,0,0
113,2020-01-26,Chungcheongnam,0,0
114,2020-01-26,Jeollabuk,0,0
115,2020-01-26,Jeollanam,0,0
